CityID,Independent Nation States w.r.t UN,City / Capital City,PosX,PosY,Latitude (N+/S-),Longitude (E+/W-),Corrected,Changed fields
92,Lao People's Democratic Republic,Vientiane,10263,1798,17.97571,102.6331,No,
93,Latvia,Riga,2411,5695,56.94965,24.10519,No,
94,Lebanon,Beirut,3550,3389,33.89379,35.50178,No,
95,Lesotho,Maseru,2749,-2932,-29.31508,27.48692,No,
96,Liberia,Monrovia,-1081,632,6.31561,-10.80737,No,
97,Libya,Tripoli,1319,3289,32.88721,13.19134,No,
98,Liechtenstein,Vaduz,952,4714,47.14103,9.52093,No,
99,Lithuania,Vilnius,2528,5469,54.68716,25.27965,No,
100,Luxembourg,Luxembourg,613,4961,49.61162,6.13193,No,
101,Madagascar,Antananarivo,4751,-1888,-18.87919,47.50791,No,
102,Malawi,Lilongwe,3377,-1396,-13.96261,33.77412,No,
103,Malaysia,Kuala Lumpur,10169,314,3.139,101.68686,No,
104,Maldives,Malé,7351,418,4.1755,73.50935,No,
105,Mali,Bamako,-800,1264,12.63923,-8.00289,No,
106,Malta,Valletta,1451,3590,35.89891,14.51455,No,
107,Marshall Islands,Majuro,17119,712,7.11642,171.18577,No,
108,Mauritania,Nouakchott,-1596,1807,18.07353,-15.95824,No,
109,Mauritius,Port Louis,5750,-2016,-20.16089,57.50122,No,
110,Mexico,Mexico City,-9913,1943,19.43261,-99.13321,No,
111,Micronesia (Federated States of),Palikir,15816,691,6.91471,158.16103,No,
112,Monaco,Monaco,742,4374,43.73842,7.42462,No,
113,Mongolia,Ulan Bator,10691,4789,47.8864,106.90574,No,
114,Montenegro,Podgorica,1926,4243,42.43042,19.25936,No,
115,Morocco,Rabat,-685,3397,33.97159,-6.84981,No,
116,Mozambique,Maputo,3257,-2597,-25.96925,32.57317,No,
117,Myanmar,Naypyidaw,9608,1976,19.76331,96.07851,No,
118,Namibia,Windhoek,1707,-2256,-22.56088,17.06575,No,
119,Nauru,Yaren,16692,-55,-0.54669,166.92109,No,
120,Nepal,Kathmandu,8532,2772,27.71725,85.32396,No,
121,Netherlands,Amsterdam,490,5237,52.36798,4.90356,No,
122,New Zealand,Wellington,17478,-4129,-41.28646,174.77624,No,
123,Nicaragua,Managua,-8624,1211,12.11499,-86.23617,No,
124,Niger,Niamey,213,1351,13.5116,2.12539,No,
125,Nigeria,Abuja,740,908,9.07648,7.39857,No,
126,Norway,Oslo,1075,5991,59.91387,10.75225,No,
127,Oman,Muscat,5841,2359,23.58589,58.40592,No,
128,Pakistan,Islamabad,7305,3368,33.68442,73.04788,No,
129,Palau,Ngerulmud,13462,750,7.50038,134.62429,No,
130,Palestine,Ramallah,3523,3195,31.95216,35.23315,No,
131,Panama,Panama City,-7952,898,8.98238,-79.51987,No,
132,Papua New Guinea,Port Moresby,14718,-944,-9.4438,147.18027,No,
133,Paraguay,Asunción,-5758,-2526,-25.26374,-57.57593,No,
134,Peru,Lima,-7704,-1205,-12.04637,-77.04275,No,
135,Philippines,Manila,12098,1460,14.59951,120.98422,No,
136,Poland,Warsaw,2101,5223,52.22968,21.01223,No,
137,Portugal,Lisbon,-914,3872,38.72225,-9.13934,No,
138,Qatar,Doha,5153,2529,25.28545,51.53104,No,
139,Republic of Korea,Seoul,12698,3757,37.56654,126.97797,No,
140,Republic of Moldova,Chișinău,2886,4701,47.01045,28.86381,No,
141,Romania,Bucharest,2610,4443,44.42677,26.10254,No,
142,Russian Federation,Moscow,3762,5576,55.75583,37.6173,No,
143,Rwanda,Kigali,3010,-197,-1.97058,30.10443,No,
144,Saint Kitts and Nevis,Basseterre,-6272,1730,17.30261,-62.71769,No,
145,Saint Lucia,Castries,-6099,1401,14.01011,-60.98747,No,
146,Saint Vincent and the Grenadines,Kingstown,-6122,1316,13.16002,-61.22482,No,
147,Samoa,Apia,-17175,-1385,-13.8507,-171.75136,No,
148,San Marino,City of San Marino,1245,4394,43.9361,12.4467,Yes,"lat, lon, x, y"
149,Sao Tome and Principe,São Tomé,673,33,0.33019,6.73334,No,
150,Saudi Arabia,Riyadh,4668,2471,24.71355,46.6753,No,
151,Senegal,Dakar,-1747,1472,14.71668,-17.46769,No,
152,Serbia,Belgrade,2045,4479,44.78657,20.44892,No,
153,Seychelles,Victoria,5545,-462,-4.61914,55.45131,No,
154,Sierra Leone,Freetown,-1323,847,8.46568,-13.23172,No,
155,Singapore,Singapore,10382,135,1.35208,103.81984,No,
156,Slovakia,Bratislava,1711,4815,48.1486,17.10775,No,
157,Slovenia,Ljubljana,1451,4606,46.05695,14.50575,No,
158,Solomon Islands,Honiara,15997,-945,-9.44564,159.9729,No,
159,Somalia,Mogadishu,4532,205,2.04693,45.31816,No,
160,South Africa,Pretoria,2823,-2575,-25.74787,28.22927,No,
161,South Sudan,Juba,3157,486,4.85936,31.57125,No,
162,Spain,Madrid,-370,4042,40.41678,-3.70379,No,
163,Sri Lanka,Sri Jayawardenepura Kotte,7992,689,6.8868,79.9187,Yes,"city, lat, lon, x, y"
164,Sudan,Khartoum,3256,1550,15.50065,32.5599,No,
165,Suriname,Paramaribo,-5520,585,5.85204,-55.20383,No,
166,Eswatini,Mbabane,3114,-2631,-26.3054,31.1367,Yes,"nation, city, lat, lon, x, y"
167,Sweden,Stockholm,1807,5933,59.32932,18.06858,No,
168,Switzerland,Bern,745,4695,46.94797,7.44745,No,
169,Syria,Damascus,3900,3480,34.80207,38.99682,No,
170,Tajikistan,Dushanbe,6879,3856,38.55977,68.78704,No,
171,Thailand,Bangkok,10050,1376,13.75633,100.50177,No,
172,North Macedonia,Skopje,2175,4161,41.60864,21.74528,Yes,nation
173,Timor Leste,Dili,12573,-887,-8.87422,125.72754,No,
174,Togo,Lomé,123,613,6.12563,1.22542,No,
175,Tonga,Nuku'alofa,-17521,-2114,-21.13807,-175.21168,No,
176,Trinidad and Tobago,Port of Spain,-6150,1065,10.6549,-61.50193,No,
177,Tunisia,Tunis,1018,3681,36.80649,10.18153,No,
178,Turkey,Ankara,3286,3993,39.93336,32.85974,No,
179,Turkmenistan,Ashgabat,5833,3796,37.96008,58.32606,No,
180,Tuvalu,Funafuti,17920,-852,-8.52115,179.19619,No,
181,Uganda,Kampala,3258,35,0.3476,32.58252,No,
182,Ukraine,Kyiv,3052,5045,50.4501,30.5234,Yes,city
183,United Arab Emirates,Abu Dhabi,5438,2445,24.45388,54.37734,No,
184,United Kingdom,London,-13,5151,51.5074,-0.1278,Yes,"lat, lon, x, y"
185,United Republic of Tanzania,Dodoma,3489,-637,-6.36903,34.88882,Yes,nation
186,United States,"Washington, D.C.",-7704,3891,38.90719,-77.03687,No,
187,Uruguay,Montevideo,-5616,-3490,-34.90111,-56.16453,No,
188,Uzbekistan,Tashkent,6924,4130,41.2995,69.24007,No,
189,Vanuatu,Port Vila,16833,-1773,-17.73325,168.32732,No,
190,Vatican City,Vatican City,1245,4190,41.9029,12.4534,Yes,"city, lat, lon"
191,Venezuela,Caracas,-6690,1048,10.4806,-66.9036,Yes,"lat, lon, x, y"
192,Viet Nam,Hanoi,10583,2103,21.02776,105.83416,No,
193,Yemen,Sana'a,4420,1537,15.37237,44.19822,No,
194,Zambia,Lusaka,2832,-1539,-15.38753,28.32282,No,
195,Zimbabwe,Harare,3103,-1783,-17.82517,31.03351,No,
